label,file,path,n_tokens
real,8.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/8.docx,730
real,9.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/9.docx,2000
generated,1.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/1.docx,1166
generated,10.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/10.docx,2440
generated,11.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/11.docx,5618
generated,12.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/12.docx,2289
generated,13.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/13.docx,2021
generated,14.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/14.docx,5062
generated,15.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/15.docx,2545
generated,16.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/16.docx,2799
generated,17.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/17.docx,4541
generated,18.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/18.docx,2282
generated,19.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/19.docx,5103
generated,2.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/2.docx,1703
generated,20.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/20.docx,3242
generated,21.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/21.docx,6878
generated,22.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/22.docx,1434
generated,23.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/23.docx,3983
generated,24.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/24.docx,2141
generated,25.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/25.docx,4332
generated,26.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/26.docx,3285
generated,27.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/27.docx,1635
generated,28.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/28.docx,3758
generated,29.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/29.docx,2211
generated,3.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/3.docx,2931
generated,30.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/30.docx,2329
generated,31.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/31.docx,3567
generated,32.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/32.docx,2017
generated,33.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/33.docx,2987
generated,34.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/34.docx,2295
generated,35.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/35.docx,4687
generated,36.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/36.docx,3435
generated,37.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/37.docx,2378
generated,38.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/38.docx,2451
generated,39.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/39.docx,2051
generated,4.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/4.docx,1948
generated,40.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/40.docx,5380
generated,41.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/41.docx,4153
generated,42.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/42.docx,3536
generated,43.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/43.docx,3410
generated,44.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/44.docx,5018
generated,45.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/45.docx,3765
generated,46.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/46.docx,3943
generated,5.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/5.docx,1987
generated,6.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/6.docx,1372
generated,7.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/7.docx,2043
generated,8.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/8.docx,2010
generated,9.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/generated_docx_converted/9.docx,2472
